po_number,sku_id,product_name,category,demanding_department,requested_qty,warehouse_current_stock,stock_vs_po_gap,unit_cost_usd,total_deal_cost_usd,demand_reason,vendor_name,po_status
PO-2026-1000,SKU-179202,Women Faux Suede Glitter Chunky Heeled Black Ankle Strap Pumps,shoes,Central Operations,1481,374,-1107,7.14,10574.34,High velocity item - Safety stock buffer replenishment,Sino-Pacific Manufacturing,In Transit
PO-2026-1001,SKU-113466,1pc Black 8 Ball Plush Pillow Toy Sofa Cushion Living Room Decoration,home_textile,Regional Sales East,1202,199,-1003,2.97,3569.94,Backorder queue pending customer fulfillment,Sino-Pacific Manufacturing,Pending C-Suite Signoff
PO-2026-1002,SKU-176741,"Vacation Green Flat Slippers for Women, Twist Decor Plain Polyester Open Toe Slide Sandals",shoes,E-Commerce Fulfillment,1015,276,-739,5.89,5978.35,Upcoming 10.10 Mega Flash Sale demand spike,Sino-Pacific Manufacturing,Pending C-Suite Signoff
PO-2026-1003,SKU-160826,Wide Cuff Bangle,jewelry_and_accessories,Regional Sales East,277,243,-34,0.91,252.07,Upcoming 10.10 Mega Flash Sale demand spike,Sino-Pacific Manufacturing,In Transit
PO-2026-1004,SKU-140035,Summer UPF 50+ UV Proof Men Skin Coats Hooded Sun Protection Breathable Cool Thin Windbreaker Casual Jackets,sports_and_outdoors,Promo Campaign Team,1347,448,-899,2.84,3825.48,Upcoming 10.10 Mega Flash Sale demand spike,Sino-Pacific Manufacturing,In Transit
PO-2026-1005,SKU-117053,Unknown Product,appliances,E-Commerce Fulfillment,379,135,-244,1.16,439.64,Backorder queue pending customer fulfillment,Sino-Pacific Manufacturing,Pending C-Suite Signoff
PO-2026-1006,SKU-155973,SHEIN Tween Boy Coconut Tree Print Tee & Tropical Print Shorts,kids,Regional Sales East,1159,421,-738,2.51,2909.09,Low stock threshold breach (< 50 units remaining),Sino-Pacific Manufacturing,Pending C-Suite Signoff
PO-2026-1007,SKU-162795,SHEIN Swim Oasis Plus Size Summer Beach Printed Leisure Holiday Style One-Piece Swimsuit With Casual Long Pants Cover Up,curve,Regional Sales East,1491,366,-1125,9.43,14060.13,Low stock threshold breach (< 50 units remaining),Sino-Pacific Manufacturing,Approved
PO-2026-1008,SKU-137137,Cartoon Astronaut Phone Case With Card Slot,electronics,Central Operations,675,401,-274,0.57,384.75,Upcoming 10.10 Mega Flash Sale demand spike,Sino-Pacific Manufacturing,In Transit
PO-2026-1009,SKU-114619,3 Pc Quilt Set Patriotoc Americana By Lavish Home - Full/Queen,home_textile,Central Operations,1211,416,-795,15.92,19279.12,Vendor promo discount deal lock-in before price increase,Sino-Pacific Manufacturing,Pending C-Suite Signoff
PO-2026-1010,SKU-147641,SHEGLAM Party Starter Body Highlighter Glitter Gel-Ice Breaker Gel Highlighter Liquid Glitter Diamond Glitter Highlighter Long Lasting Dual-Use Sweat Proof Illuminator Highlighter,beauty_and_health,Regional Sales East,833,393,-440,1.66,1382.78,Low stock threshold breach (< 50 units remaining),Sino-Pacific Manufacturing,Approved
PO-2026-1011,SKU-127911,1pc Ribbon Decor Clear Gift Bag,home_and_kitchen,E-Commerce Fulfillment,917,498,-419,0.97,889.49,High velocity item - Safety stock buffer replenishment,Sino-Pacific Manufacturing,In Transit
PO-2026-1012,SKU-129915,Alice Dark Fashionable Pink Face Pattern Jacquard Mid-Calf Socks,underwear_and_sleepwear,Central Operations,1027,79,-948,0.83,852.41,Vendor promo discount deal lock-in before price increase,Sino-Pacific Manufacturing,Approved
PO-2026-1013,SKU-103211,"1 Pc Car Decorations, Delicate Roses, Center Console Decorations, Mini Rearview Mirror Decorations, Personalized And Beautiful",automotive,Central Operations,724,173,-551,1.05,760.2,Low stock threshold breach (< 50 units remaining),Sino-Pacific Manufacturing,In Transit
PO-2026-1014,SKU-172063,"GAWX Yellow Striped Cute Frog Printed Pet Dog/Cat Vest Shirt, 1pc",pet_supplies,E-Commerce Fulfillment,416,332,-84,0.53,220.48,Vendor promo discount deal lock-in before price increase,Sino-Pacific Manufacturing,In Transit
PO-2026-1015,SKU-180717,Manfinity LEGND Men Reflective Cartoon Graphic Tee,mens_clothes,Category Manager,1121,356,-765,2.61,2925.81,Backorder queue pending customer fulfillment,Sino-Pacific Manufacturing,Approved
PO-2026-1016,SKU-146890,14pcs/set 2ml Pink Acrylic Nail Gel Kit With Long-lasting And Extra Strong Adhesive For Nail Salons And Home Diy,beauty_and_health,E-Commerce Fulfillment,786,479,-307,1.2,943.2,Low stock threshold breach (< 50 units remaining),Sino-Pacific Manufacturing,Approved
PO-2026-1017,SKU-119828,"Electric Men's Razor, Mini-Shave Electric Shaver For Travel & Camping, Portable Beard Trimmer Shaving Machine Hair Clipper Facial Epilator, Perfect Father's Day & Friend Gift!",appliances,Regional Sales East,1095,66,-1029,3.81,4171.95,Backorder queue pending customer fulfillment,Sino-Pacific Manufacturing,Pending C-Suite Signoff
PO-2026-1018,SKU-104896,SHEIN VCAY Solid Eyelet Embroidery Cami Top,womens_clothing,Promo Campaign Team,859,391,-468,3.0,2577.0,Upcoming 10.10 Mega Flash Sale demand spike,Global Tex Logistics Co.,Approved
PO-2026-1019,SKU-163990,SHEIN VCAY Plus Solid Cami Summer Dress,curve,Regional Sales East,555,262,-293,2.05,1137.75,Low stock threshold breach (< 50 units remaining),Sino-Pacific Manufacturing,In Transit
